Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);"PM10 
(ug/m3)";"PM2.5 
(ug/m3)";SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C)
1/07/2020 00:00;0;0;85.21;0;40.80;18.59;7.27;72.48;0;91.64;-12.10972;-77.05194;100750.77;15.71
1/07/2020 01:00;0;0;84.51;0;48.19;21.02;7.28;69.67;0;91.32;-12.10972;-77.05194;100739.41;15.73
1/07/2020 02:00;0;0;83.38;0;40.88;18.83;7.25;72.05;0;92.59;-12.10972;-77.05194;100743.13;15.44
1/07/2020 03:00;0;0;82.50;0;33.65;17.38;7.26;70.18;0;92.89;-12.10972;-77.05194;100725.32;15.29
1/07/2020 04:00;0;0;84.14;0;23.40;13.80;7.27;70.77;0;92.35;-12.10972;-77.05194;100696.99;15.24
1/07/2020 05:00;0;0;89.76;0;16.79;11.06;7.29;77.13;0;91.00;-12.10972;-77.05194;100709.17;15.40
1/07/2020 06:00;0;0;96.53;0;15.40;9.57;7.33;88.63;0;90.42;-12.10972;-77.05194;100752.86;15.59
1/07/2020 07:00;14.18;0.00;114.16;0;41.47;15.21;7.41;94.35;0;93.38;-12.10972;-77.05194;100795.21;15.48
1/07/2020 08:00;253.98;2.64;116.49;0;21.24;11.08;7.56;94.62;0.06;93.46;-12.10972;-77.05194;100849.11;15.64
1/07/2020 09:00;32.63;0;109.47;0;31.15;12.82;7.52;97.20;0.28;89.90;-12.10972;-77.05194;100917.31;16.44
1/07/2020 10:00;22.94;0;102.73;0;45.64;16.62;7.53;99.97;0.47;90.37;-12.10972;-77.05194;100926.97;16.98
1/07/2020 11:00;94.38;0;90.28;0;32.68;12.54;7.91;97.17;0.74;85.40;-12.10972;-77.05194;100878.16;18.06
1/07/2020 12:00;0;0;71.71;0;31.02;9.95;7.81;96.61;0.90;85.23;-12.10972;-77.05194;100833.70;18.06
1/07/2020 13:00;0;0;56.61;0;27.55;8.10;7.96;97.21;1.27;82.40;-12.10972;-77.05194;100785.33;18.75
1/07/2020 14:00;0;0;36.22;0;27.64;8.41;8.26;100.71;1.58;76.28;-12.10972;-77.05194;100713.66;19.66
1/07/2020 15:00;0;0;59.44;0;28.79;9.04;8.08;96.48;1.15;76.88;-12.10972;-77.05194;100661.10;19.25
1/07/2020 16:00;0;0;92.41;0;30.63;10.25;7.74;98.20;0.66;82.76;-12.10972;-77.05194;100654.58;17.80
1/07/2020 17:00;0;0;97.36;0;37.85;10.92;7.44;96.79;0.26;89.50;-12.10972;-77.05194;100663.94;16.64
1/07/2020 18:00;18.30;0;112.39;0;36.71;10.71;7.34;97.20;0.01;90.90;-12.10972;-77.05194;100691.41;16.40
1/07/2020 19:00;0.01;0;117.04;0;72.07;15.75;7.27;102.51;0;92.45;-12.10972;-77.05194;100733.45;16.26
1/07/2020 20:00;0;0;102.42;0;82.80;14.95;7.25;100.71;0;92.08;-12.10972;-77.05194;100762.77;16.12
1/07/2020 21:00;0.85;0;95.52;0;81.13;15.97;7.26;100.10;0;91.67;-12.10972;-77.05194;100778.05;15.96
1/07/2020 22:00;0;0;89.73;0;85.42;17.12;7.25;99.25;0;92.57;-12.10972;-77.05194;100790.39;15.99
1/07/2020 23:00;0;0;83.09;0;112.84;20.50;7.23;80.84;0;93.10;-12.10972;-77.05194;100805.95;15.93
2/07/2020 00:00;0;0;80.21;0;82.19;17.12;7.24;79.58;0;92.20;-12.10972;-77.05194;100784.44;15.98
2/07/2020 01:00;0;0;77.54;0;108.86;20.83;7.24;76.57;0;91.01;-12.10972;-77.05194;100734.48;15.93
2/07/2020 02:00;0;0;77.04;0;115.78;21.49;7.22;84.38;0;91.02;-12.10972;-77.05194;100688.81;15.89
2/07/2020 03:00;0;0;77.67;0;96.53;19.33;7.22;71.88;0;91.61;-12.10972;-77.05194;100639.29;15.86
2/07/2020 04:00;0;0;78.38;0;54.43;13.05;7.20;74.81;0;95.12;-12.10972;-77.05194;100602.50;15.63
2/07/2020 05:00;0;0;77.15;0;55.99;13.90;7.20;74.03;0;96.13;-12.10972;-77.05194;100595.68;15.48
2/07/2020 06:00;0;0;80.78;0;54.49;14.80;7.21;95.38;0;96.58;-12.10972;-77.05194;100606.38;15.29
2/07/2020 07:00;0;0;89.61;0;54.20;15.40;7.27;95.80;0;96.65;-12.10972;-77.05194;100625.14;15.36
2/07/2020 08:00;0;0;90.81;0;56.85;15.85;7.29;96.25;0.06;96.28;-12.10972;-77.05194;100670.01;15.57
2/07/2020 09:00;0.92;0;78.03;0;52.84;15.48;7.28;96.32;0.26;94.05;-12.10972;-77.05194;100725.89;15.92
2/07/2020 10:00;4.68;0;74.30;0;49.16;13.93;7.43;99.46;0.55;91.58;-12.10972;-77.05194;100759.13;16.47
2/07/2020 11:00;0;0;55.32;0;28.65;8.81;7.73;97.19;0.87;84.82;-12.10972;-77.05194;100744.27;17.23
2/07/2020 12:00;0;0;59.84;0;22.21;7.59;7.68;99.48;1.05;87.99;-12.10972;-77.05194;100718.68;16.93
2/07/2020 13:00;0;0;59.59;0;17.42;6.44;7.76;100.51;1.22;83.61;-12.10972;-77.05194;100665.76;17.25
2/07/2020 14:00;0;0;55.70;0;26.29;9.55;8.04;94.56;1.37;86.36;-12.10972;-77.05194;100592.82;17.80
2/07/2020 15:00;0;0;65.52;0;28.98;9.82;7.90;97.57;0.95;87.10;-12.10972;-77.05194;100539.66;17.39
2/07/2020 16:00;0;0;83.04;0;33.39;9.83;7.61;100.25;0.52;87.66;-12.10972;-77.05194;100529.66;16.80
2/07/2020 17:00;0;0;91.63;0;46.40;11.35;7.44;100.52;0.21;87.20;-12.10972;-77.05194;100536.08;16.51
2/07/2020 18:00;0;0;99.00;0;43.62;11.52;7.28;99.86;0.01;88.68;-12.10972;-77.05194;100577.48;16.09
2/07/2020 19:00;0;0;103.95;0;40.84;11.64;7.25;101.62;0;89.32;-12.10972;-77.05194;100638.12;15.97
2/07/2020 20:00;0;0;95.89;0;47.03;12.36;7.22;93.72;0;90.18;-12.10972;-77.05194;100674.80;15.88
2/07/2020 21:00;0;0;90.28;0;98.30;20.36;7.21;94.85;0;91.20;-12.10972;-77.05194;100736.54;15.81
2/07/2020 22:00;0;0;83.32;0;99.12;20.54;7.22;88.79;0;91.13;-12.10972;-77.05194;100777.02;15.85
2/07/2020 23:00;0;0;78.21;0;79.29;17.76;7.21;77.04;0;91.08;-12.10972;-77.05194;100790.69;15.71
3/07/2020 00:00;0;0;81.60;0;137.55;29.22;7.24;72.96;0;91.28;-12.10972;-77.05194;100769.91;15.87
